x           v
0 0
0.00990099 0.0252103
0.019802 0.0289366
0.029703 0.0305402
0.039604 0.0308914
0.049505 0.0304725
0.0594059 0.029576
0.0693069 0.0283891
0.0792079 0.0270359
0.0891089 0.0256001
0.0990099 0.0241388
0.108911 0.0226911
0.118812 0.0212831
0.128713 0.0199324
0.138614 0.0186499
0.148515 0.0174421
0.158416 0.0163122
0.168317 0.015261
0.178218 0.0142875
0.188119 0.01339
0.19802 0.0125654
0.207921 0.0118105
0.217822 0.0111217
0.227723 0.0104952
0.237624 0.00992699
0.247525 0.00941338
0.257426 0.00895059
0.267327 0.008535
0.277228 0.00816316
0.287129 0.00783178
0.29703 0.00753773
0.306931 0.00727811
0.316832 0.00705017
0.326733 0.00685136
0.336634 0.0066793
0.346535 0.00653178
0.356436 0.00640675
0.366337 0.00630234
0.376238 0.00621678
0.386139 0.00614848
0.39604 0.00609594
0.405941 0.00605783
0.415842 0.00603287
0.425743 0.00601992
0.435644 0.00601794
0.445545 0.00602596
0.455446 0.0060431
0.465347 0.00606855
0.475248 0.00610157
0.485149 0.00614148
0.49505 0.00618769
0.50495 0.00623961
0.514851 0.00629674
0.524752 0.00635861
0.534653 0.0064248
0.544554 0.0064949
0.554455 0.00656858
0.564356 0.0066455
0.574257 0.00672537
0.584158 0.00680793
0.594059 0.00689292
0.60396 0.00698014
0.613861 0.00706936
0.623762 0.00716042
0.633663 0.00725314
0.643564 0.00734738
0.653465 0.00744298
0.663366 0.00753984
0.673267 0.00763782
0.683168 0.00773684
0.693069 0.00783678
0.70297 0.00793758
0.712871 0.00803915
0.722772 0.00814141
0.732673 0.00824431
0.742574 0.00834779
0.752475 0.00845179
0.762376 0.00855626
0.772277 0.00866117
0.782178 0.00876647
0.792079 0.00887212
0.80198 0.00897809
0.811881 0.00908435
0.821782 0.00919088
0.831683 0.00929765
0.841584 0.00940464
0.851485 0.00951183
0.861386 0.0096192
0.871287 0.00972672
0.881188 0.0098344
0.891089 0.00994221
0.90099 0.0100501
0.910891 0.0101582
0.920792 0.0102663
0.930693 0.0103746
0.940594 0.0104829
0.950495 0.0105913
0.960396 0.0106997
0.970297 0.0108082
0.980198 0.0109168
0.990099 0
